Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source,Website
Software Developers,Wizcom Corporation,"Princeton Junction, NJ 08550",30+ days ago,https://www.indeed.com/viewjob?jk=9895c3b5765a394a,,,"Design, develop, test, create and modify computer applications software and specialized utility programs.
Minimum of a bachelor’s degree in computer science,…",Indeed,https://www.wizcom.com
Senior Software Engineer,Moody's,"Newark, CA",5 days ago,https://www.indeed.com/viewjob?jk=56a73dc96a097aaa,,,Design and deliver scalable back-end software solutions that power advanced insurance analytics products and services.,Indeed,https://www.moodys.com
Software Engineer,ASTi,United States,30+ days ago,https://www.indeed.com/viewjob?jk=a20b425a22707c2f,,,"Research and develop solutions using the latest cloud and web-based technologies.
This is a full-time position in Herndon, VA for the right candidate with…",Indeed,https://www.vivino.com
Software Engineer,"Interclypse, Inc.","Aurora, CO",30+ days ago,https://www.indeed.com/viewjob?jk=b401cb1738c32d38,,,"Seeking engineers to grow their knowledge and further their careers.
Software Engineering candidates have experience working in team environments, building…",Indeed,https://interclypse.com
Junior Software Engineer,USAA,"San Antonio, TX",4 days ago,https://www.indeed.com/viewjob?jk=4b86ff3a3acd3700,,,"Experience with software version control systems based on GIT.
Ensures risks associated with business activities are effectively identified, measured, monitored…",Indeed,https://www.usaa.com
Software Engineer,Namitus Technologies,"Frisco, TX",30+ days ago,https://www.indeed.com/viewjob?jk=e985ad50fb83682e,,,"Design and develop computer applications software and specialized utility programs.
Develop and design systems tests, programming and validation procedures.",Indeed,https://namitus.com
Software Engineer,XO Energy,"St Thomas, VI",30+ days ago,https://www.indeed.com/viewjob?jk=4be27c87395e5c42,,,"Proficient with a modern version control system (preferably Git).
Experience developing complete applications in an object-oriented language like C# or Java.",Indeed,http://www.xo-energy.com
Software Engineer,Hyadestechinc,"Santa Clara, CA",30+ days ago,https://www.indeed.com/viewjob?jk=152f94cfd5f81285,,,"Develop software design and testing software applications and integrating with Web Service APIs, SOAP APIs, XML Scheme and other Java APIs at the back-end.",Indeed,http://hyadestechinc.com
Software Engineer,SecureBio,"Cambridge, MA",27 days ago,https://www.indeed.com/viewjob?jk=03ce0d7548f16c39,,,Status: full-time SecureBio employee.,Indeed,https://securebio.org
Software Engineer,Nava,"San Francisco, CA 94111",30+ days ago,https://www.indeed.com/viewjob?jk=0d721c42a132e6ef,,,"This can make the path to production slower and some decisions, such as tools and processes, lie outside of our control.",Indeed,https://tracreports.org
Software Engineer,Dartmouth College,"Hanover, NH",30+ days ago,https://www.indeed.com/viewjob?jk=0c99c2805bf84a27,,,"5–8 years of professional software engineering experience.
Shares technical knowledge through documentation, code reviews, cross training, and informal…",Indeed,https://admissions.dartmouth.edu
Software Developer / Engineer,Siemens,"Minnetonka, MN 55305",24 days ago,https://www.indeed.com/viewjob?jk=2883e0264e1dcb7e,,,"Experience with software testing and test automation.
Experience with source code control using Git and/or GitHub.
20% Domestic and International Travel.",Indeed,https://www.siemens.com
WEB ENGINEER,Trans Techno Infoway,"Cypress, CA 90630",30+ days ago,https://www.indeed.com/viewjob?jk=44d5c10b54e5491e,,,"Experience with the software life cycle.
Work with Web engineers and content engineers (UI) in the organization to plan for and solve integration issues.",Indeed,https://www.chamberofcommerce.com
SOFTWARE ENGINEER,Emergtech Business Solutions,"Farmington Hills, MI 48335",30+ days ago,https://www.indeed.com/viewjob?jk=b7f26bb02daf14f0,,,"Conduct complete software develop life cycle for Software Configuration Management (SCM), including initial design, development, testing, and launch.",Indeed,https://www.emergtechinc.com
Software Engineer,Truist Bank,"Atlanta, GA 30309",3 days ago,https://www.indeed.com/viewjob?jk=54c480de1431ecde,,,"Troubleshoots, debugs, and resolves complex software defects and production issues, applying root-cause analysis and corrective actions.
Master’s Degree or MBA.",Indeed,https://www.truist.com
Software Engineer / Rails Developer,Listia,"San Francisco Bay Area, CA",30+ days ago,https://www.indeed.com/viewjob?jk=6b157bfd3d657b85,,,"Experience with UNIX, Javascript & version control.
Ruby on rails experience is a big plus.
Going above and beyond the bare minimum.",Indeed,https://www.listia.com
Consultant - Software Engineer,Torq Consulting,"Plano, TX",5 days ago,https://www.indeed.com/viewjob?jk=5246522f135f363a,,,"Design and build scalable, production-grade software systems — backend APIs, platforms, integrations, services.
Strong communication and collaboration skills.",Indeed,https://senderoconsulting.com
Software Engineer,"Interclypse, Inc.","Annapolis Junction, MD",30+ days ago,https://www.indeed.com/viewjob?jk=fac2a75a1b6ae4db,,,"The Software Engineer reviews and analyzes system specifications.
B. Analyzes existing systems/subsystems for reusability benefits and needed changes.",Indeed,https://interclypse.com
Backend Software Engineer,Strategic Healthcare Programs,"Goleta, CA 93117",30+ days ago,https://www.indeed.com/viewjob?jk=364df2ab1733a475,,,"Bachelor's degree in computer science, computer engineering, electrical engineering, or a related field and a minimum of 5 years of professional backend…",Indeed,https://www.shpdata.com
"Lead Software Engineer, Gen AI",Caterpillar,"Chicago, IL 60622",3 days ago,https://www.indeed.com/viewjob?jk=8f54aa481b07e4a5,,,"Deploying software using GitHub Actions or similar.
Software Development Life Cycle: Extensive knowledge of the software development life cycle; ability to use…",Indeed,https://www.caterpillar.com
Backend Software Engineer,Cimarron Software,"Houston, TX 77058",30+ days ago,https://www.indeed.com/viewjob?jk=b17cbdee2134a3d7,,,"5 or more years of related experience.
Understanding of data compliance, auditing, and access control practices.",Indeed,https://www.cimarroninc.com
Software Engineer,North.Cloud,"Brooklyn, NY 11201",30+ days ago,https://www.indeed.com/viewjob?jk=fbf0876774368eed,,,"30 day sabbatical every 4 years.
4-10 years of software engineering experience building and shipping production systems.",Indeed,https://north.cloud
"Senior Software Engineer, NZ",Partly • Christchurch,London UK,,/goto?url=CAESdgHrOzAV5S1U6KMpRE58E8_L2yJMwovY7fj_hwK8a8SAmZPJ8uTvFPM7DgwaAW6jVSMMhsCwpJlRCFVBwFp-9fy5g6-vWWiFsAqx5kft0glGHqI0jptLbxlJQLpfO7UyWfEDsDF6-u9kXIifVRq4cklxNZ7RA1U,/goto?url=CAESdgHrOzAV5S1U6KMpRE58E8_L2yJMwovY7fj_hwK8a8SAmZPJ8uTvFPM7DgwaAW6jVSMMhsCwpJlRCFVBwFp-9fy5g6-vWWiFsAqx5kft0glGHqI0jptLbxlJQLpfO7UyWfEDsDF6-u9kXIifVRq4cklxNZ7RA1U,,"Senior Software Engineer, NZ at Partly • Christchurch",Wellfound,https://find-and-update.company-information.service.gov.uk
"Software Engineer, NZ",Partly • Christchurch,London UK,,/goto?url=CAESbwHrOzAV4BJ_LnZqK1vC4XOkMpFDOp8iyt8173qRT035ut0mpIXN3Cwno2f8MAThz_nW9QGMxv4unvFgYQElg69j_emv5HtT6HyfmXTdaHM3wQONJwx90DTz2Ij-8KcEb0MSqNhS0ob4p9PMFy2exg,/goto?url=CAESbwHrOzAV4BJ_LnZqK1vC4XOkMpFDOp8iyt8173qRT035ut0mpIXN3Cwno2f8MAThz_nW9QGMxv4unvFgYQElg69j_emv5HtT6HyfmXTdaHM3wQONJwx90DTz2Ij-8KcEb0MSqNhS0ob4p9PMFy2exg,,"Software Engineer, NZ at Partly • Christchurch",Wellfound,https://find-and-update.company-information.service.gov.uk
"Senior Software Engineer, NZ",Partly • Christchurch,London UK,,/goto?url=CAESdgHrOzAVkb95lGtnthai0heY3YuX-_92HVVtcRPmwupFed9hp5f3jf4gU6ty5JFfoEmYTXKfhiE-jkxnNsP609_BZ2kE8q1iWLwvfYJzaxut2nzUEsWJDjQdF-OLZyvyndGs8NdSqAbZ2UM6mLq9GKrTBZXNRNU,/goto?url=CAESdgHrOzAVkb95lGtnthai0heY3YuX-_92HVVtcRPmwupFed9hp5f3jf4gU6ty5JFfoEmYTXKfhiE-jkxnNsP609_BZ2kE8q1iWLwvfYJzaxut2nzUEsWJDjQdF-OLZyvyndGs8NdSqAbZ2UM6mLq9GKrTBZXNRNU,,"Senior Software Engineer, NZ at Partly • Christchurch",Wellfound,https://find-and-update.company-information.service.gov.uk
"Staff/Senior Staff Software Engineer, Austin",Partly,London UK,,/goto?url=CAEShgEB6zswFRo33chba__dY0GOaAV1AztcjyeeTSm5Ve1I5FUlNpbTYiEmN2yEdnCuAGRDH_BXpDJQdjTQ2SB83qkwJgJXHoCtkTTF2SMlyY-hQg5fRXYdzBSk0VmaphPPJyZ5tiwOnWeNKu4XD_5du54GobNJ_s2FSiR5Og2vyXz4zyRZ6bKoFg,/goto?url=CAEShgEB6zswFRo33chba__dY0GOaAV1AztcjyeeTSm5Ve1I5FUlNpbTYiEmN2yEdnCuAGRDH_BXpDJQdjTQ2SB83qkwJgJXHoCtkTTF2SMlyY-hQg5fRXYdzBSk0VmaphPPJyZ5tiwOnWeNKu4XD_5du54GobNJ_s2FSiR5Og2vyXz4zyRZ6bKoFg,,"Staff/Senior Staff Software Engineer, Austin at Partly",Wellfound,https://find-and-update.company-information.service.gov.uk
"Software Engineer, Junior / Graduate (m/f/*)",Quaisr,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-junior-graduate-mf-quaisr-JV_IC2671300_KO0,36_KE37,43.htm?jl=1010171584878",,,"Flexible hybrid working environment, blending work from the office and home. Evidence of self-motivated learning, listening, creative problem solving, critical…&hellip;

Skills: Continuous integration, Software development, Technical writing, Communication skills",Glassdoor,https://quaisr.com
"Software Engineer II, Fullstack (International)",Affirm,"London, England",18d,"https://www.glassdoor.co.uk/job-listing/software-engineer-ii-fullstack-international-affirm-JV_IC2671300_KO0,44_KE45,51.htm?jl=1010229464545",,,"We build and own various products used by our consumers, like the Affirm App and other Direct to Consumer products across international markets.&hellip;

Skills: Product development, Communication skills",Glassdoor,https://www.affirm.com
Software Engineer - Remote,The Orange Box,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-remote-the-orange-box-JV_IC2671300_KO0,24_KE25,39.htm?jl=1010207763231",,,"Design, develop, and maintain software applications according to project requirements. Participate in code reviews to maintain code quality and share knowledge.&hellip;

Skills: Performance tuning, Software troubleshooting, Git, Java, Application development",Glassdoor,https://orangebox.com
Software Engineer,The Institute of Cancer Research,"London, England",24d,"https://www.glassdoor.co.uk/job-listing/software-engineer-the-institute-of-cancer-research-JV_IC2671300_KO0,17_KE18,50.htm?jl=1010224698508",,,"The post holder will undertake project management and collaborate with clinicians, researchers and other software developers.&hellip;

Skills: Databases",Glassdoor,https://www.icr.ac.uk
Software Engineer,Squid It,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-squid-it-JV_KO0,17_KE18,26.htm?jl=1010203061492",,,"Work directly with customers to understand problems, test solutions and improve the product. The ability to communicate clearly and work directly with technical…&hellip;

Skills: Cloud infrastructure, Relational databases, Front-end development, Data visualisation, AI",Glassdoor,https://squidit.nl
Software Developer (.Net),Technology Development Group,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-developer-net-tdg-technology-development-group-JV_IC2671300_KO0,22_KE23,55.htm?jl=1006404511982",,,"Min. 2 years of experience on . Develop quality software and web applications. Analyze and maintain existing software applications.&hellip;

Skills: Software troubleshooting, Web development, Application development, Analysis skills, Technical writing",Glassdoor,https://www.companieslist.co.uk
Software Developer C++,Cantor Fitzgerald,"London, England",26d,"https://www.glassdoor.co.uk/job-listing/software-developer-c-cantor-fitzgerald-JV_IC2671300_KO0,20_KE21,38.htm?jl=1010221256776",,,"Your expertise in Java and C++ will be instrumental in building and maintaining high-performance, low-latency solutions that power our financial services…&hellip;

Skills: Java, C++, Software development",Glassdoor,https://www.cantor.com
Software Engineer,Investa,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-investa-JV_KO0,17_KE18,25.htm?jl=1010213387668",,,"Legacy platforms typically feature high fees and complex interfaces that cut out the majority of retail investors. Stage 2: Technical & Architectural Deep Dive.&hellip;

Skills: System design, Distributed systems",Glassdoor,https://www.investa-london.co.uk
Data Software Engineer,G-Research,"London, England",10d,"https://www.glassdoor.co.uk/job-listing/data-software-engineer-g-research-JV_IC2671300_KO0,22_KE23,33.htm?jl=1010236356603",,,"Participating in a shared production support rotation, responding to incidents, troubleshooting runtime issues and driving improvements.&hellip;

Skills: Performance tuning, Rust (programming language), Software testing",Glassdoor,https://www.gresearch.com
"Staff Software Engineer, Backend (Identity International)",Affirm,"London, England",3d,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-backend-identity-international-affirm-JV_IC2671300_KO0,54_KE55,61.htm?jl=1010244203685",,,"You will collaborate across teams in the product development lifecycle by collaborating with product management, design & analytics to ensure technical…&hellip;

Skills: Spark, AWS, Team management, Distributed systems, Risk management",Glassdoor,https://www.affirm.com
Staff+ Software Engineer,Plasma,"London, England",5d,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-plasma-JV_IC2671300_KO0,23_KE24,30.htm?jl=1010241223773",,,"The team is responsible for taking the product from its first business customers to general availability, and for growing the businesses that run on Plasma.&hellip;

Skills: Mentoring, Front-end development, TypeScript, React Native",Glassdoor,https://www.plasashow.com
Senior Software Developer,The Scout Association,United Kingdom,4d,"https://www.glassdoor.co.uk/job-listing/senior-software-developer-the-scout-association-JV_KO0,25_KE26,47.htm?jl=1010242970095",,,"Experience delivering and maintaining digital products or services. Work closely with staff and volunteers to understand needs and deliver practical solutions.&hellip;

Skills: Databases, Front-end development",Glassdoor,https://www.scouts.org.uk
"Staff Software Engineer, Continuous Integration",Anthropic,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-continuous-integration-anthropic-JV_IC2671300_KO0,46_KE47,56.htm?jl=1010033366457",,,"For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses…&hellip;

Skills: Kubernetes, Test automation, Build automation, Continuous integration, GitHub",Glassdoor,https://www.anthropic.com
Python Software Developer,Consilience Media,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/python-software-developer-consilience-media-JV_IC2671300_KO0,25_KE26,43.htm?jl=1005972033434",,,"If you have more than 3 years relevant experience, kindly send your CV with reference “CGRUK0802” to: recruitment_at_consilienceconsulting.co.uk.&hellip;

Skills: Git, English, AWS, PostgreSQL, REST",Glassdoor,https://find-and-update.company-information.service.gov.uk
"Software Engineer, Product",Adaptyv Biosystems,"London, England",4d,"https://www.glassdoor.co.uk/job-listing/software-engineer-product-adaptyv-JV_IC2671300_KO0,25_KE26,33.htm?jl=1010242245703",,,"We're building the infrastructure that gives AI agents access to the physical world. This is full-stack product engineering at the intersection of software and…&hellip;

Skills: Product development, APIs, AI, TypeScript",Glassdoor,https://www.londondaily.news
Software Developer - Technology - Counter Terrorism Policing HQ,Metropolitan Police Service,"London, England",19d,"https://www.glassdoor.co.uk/job-listing/software-developer-technology-counter-terrorism-policing-hq-metropolitan-police-service-JV_IC2671300_KO0,59_KE60,87.htm?jl=1010228330486",,,"Works co-operatively with others, developing positive working relationships with customers, colleagues and stakeholders (including senior colleagues).&hellip;

Skills: English, Mentoring, Software development, Data collection, Communication skills",Glassdoor,https://www.met.police.uk
Software Developer,Teambow,"London, England",16d,"https://www.glassdoor.co.uk/job-listing/software-developer-teambow-JV_IC2671300_KO0,18_KE19,26.htm?jl=1010231218941",,,"Strong understanding of database management systems such as MySQL or SQL Server; ability to write optimized queries.&hellip;

Skills: Cloud infrastructure, C#, Microsoft SQL Server, Git, Java",Glassdoor,https://www.teambow.uk
Python/Front Office Software Engineer for Commodities UK,JPMorganChase,"London, England",4d,"https://www.glassdoor.co.uk/job-listing/python-front-office-software-engineer-for-commodities-uk-jpmorgan-chase-co-JV_IC2671300_KO0,56_KE57,74.htm?jl=1010242100957",,,"Collaborates with global technology teams seamlessly and work in an agile manner. Continuously improves code quality, performance and system resilience by…&hellip;

Skills: CI/CD, Software troubleshooting, Java, OOP, Analysis skills",Glassdoor,https://www.jpmorganchase.com
Software Engineer,Coordinated Care Continuum (3C),United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-coordinated-care-continuum-3c-JV_KO0,17_KE18,47.htm?jl=1006740027445",,,"Experience with front-end frameworks and server-side JavaScript is a plus. We’re seeking engineers who have experience building and maintaining high-quality…&hellip;

Skills: OOP, Front-end development",Glassdoor,https://www.cqc.org.uk
Software Engineer,BBC,"London, England",10d,"https://www.glassdoor.co.uk/job-listing/software-engineer-bbc-JV_IC2671300_KO0,17_KE18,21.htm?jl=1010237459128",,,"Experience working with 3rd party data providers, expressing requirements and driving improvement in their service.&hellip;

Skills: Power BI, Spark, Java, Databases, SQL",Glassdoor,https://grokipedia.com
Software Developer,Appdrawn,"Watford, East of England, England",21d,"https://www.glassdoor.co.uk/job-listing/software-developer-appdrawn-JV_IC2670717_KO0,18_KE19,27.htm?jl=1010226430188",,,"You will identify requirements, challenges and issues then work dynamically to bring smart solutions in a fast-paced and varied role that comes with a clear…&hellip;

Skills: Application development, JavaScript, Risk management, Software development, Software testing",Glassdoor,https://www.appdrawn.com
"Software Engineer, International",Ramp Network,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-international-ramp-network-JV_KO0,31_KE32,44.htm?jl=1010170609981",,,"Virtual GP and at-home care via eMed x Livi. 401(k), including employer match on contributions made while employed by Ramp. Budget for intra-office travel.&hellip;

Skills: Distributed systems, APIs",Glassdoor,https://ramp.com
"Software Engineer, Agent Systems",Normal Computing,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-agent-systems-normal-computing-corporation-JV_KO0,31_KE32,60.htm?jl=1010214539040",,,"Experience building systems for AI agents, model orchestration, code execution, or other LLM-powered products.&hellip;

Skills: Kubernetes, Distributed systems, APIs, AI, Debugging",Glassdoor,https://www.normalcomputing.com
Staff Software Engineer,Deliveroo,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-deliveroo-JV_IC2671300_KO0,23_KE24,33.htm?jl=1009727887378",,,"Shape the Team: Lead engineering interviews and contribute to recruiting strategy to ensure we maintain a high bar for talent.&hellip;

Skills: Rust (programming language), Go, NoSQL, Distributed systems, Scala",Glassdoor,https://deliveroo.co.uk
"Software Engineer, Agents",Decagon,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-agents-decagon-JV_IC2671300_KO0,24_KE25,32.htm?jl=1009895832759",,,"You will build on our industry-leading AI agent platform, collaborate directly with customers and use your own creativity to devise long-term, scalable…&hellip;

Skills: AI, TypeScript",Glassdoor,https://decagon.ai
Software Developer,Interpham Consulting Services,"Luton, East of England, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-developer-interpham-consulting-JV_IC2670068_KO0,18_KE19,39.htm?jl=1009679953274",,,"The developer must be reliable, should show a high-level of understanding, have an innovative attitude, and be able to meet objectives in a timely manner.&hellip;

Skills: CI/CD, Node.js, Cassandra, Software troubleshooting, React",Glassdoor,https://interphamconsulting.com
Software Engineer,Edenred,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-edenred-JV_KO0,17_KE18,25.htm?jl=1010184022759",,,"OAuth 2 and public key encryption. As an Edenred PayTech employee you will get the support and structure that you need to enjoy your work and develop your…&hellip;

Skills: Jira, JUnit, XML, Cucumber (software testing tool), Tomcat",Glassdoor,https://www.edenred.com
Software Development Engineer II,Expedia Group,"London, England",5d,"https://www.glassdoor.co.uk/job-listing/software-development-engineer-ii-expedia-group-JV_IC2671300_KO0,32_KE33,46.htm?jl=1010241904886",,,"Collaborate closely with product managers, designers, and other engineers to translate business requirements into scalable solutions.&hellip;

Skills: CI/CD, Software troubleshooting, Data structures, Microservices, Distributed systems",Glassdoor,https://careers.expediagroup.com
Software Engineer (Data Platforms),Squid It,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-data-platforms-squid-it-JV_IC2671300_KO0,32_KE33,41.htm?jl=1010203077299",,,"Build APIs and services that make processed data available to products, customers and AI systems. Work directly with customers and domain experts to understand…&hellip;

Skills: Databases, APIs, AI, Data warehouse",Glassdoor,https://squidit.nl
Software Development Engineer II,Expedia Group,"London, England",21d,"https://www.glassdoor.co.uk/job-listing/software-development-engineer-ii-expedia-group-JV_IC2671300_KO0,32_KE33,46.htm?jl=1010226533139",,,"Experience 2+ years for Bachelor's 0-2 years for Master's Education • Developed software in a team environment of at least 5 engineers (agile, version control,…&hellip;

Skills: Cloud infrastructure, Software troubleshooting, APIs, Software testing, Project leadership",Glassdoor,https://careers.expediagroup.com
"Software Development Engineer, Data Center Builder Tools",Amazon,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-development-engineer-data-center-builder-tools-amazon-JV_KO0,55_KE56,62.htm?jl=1010206611801",,,"Experience designing or architecting (design patterns, reliability and scaling) of new and existing systems, or experience building complex software systems…&hellip;

Skills: OOP, Distributed systems, Mentoring, Software development, Cloud computing",Glassdoor,https://www.amazon.co.uk
Software Engineer ERP Integrations,BLP Digital,"London, England",24h,"https://www.glassdoor.co.uk/job-listing/software-engineer-erp-integrations-blp-digital-JV_IC2671300_KO0,34_KE35,46.htm?jl=1010246240167",,,"As Integrations Engineer, you will play a crucial role in enabling our customers to connect their ERP systems with BLP Digital’s platform.&hellip;

Skills: Go, EDI, ERP systems, English, SOAP",Glassdoor,https://blp.digital
Staff Software Engineer - Data Platforms,Our Future Health,"London, England",6d,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-data-platforms-our-future-health-JV_IC2671300_KO0,38_KE39,56.htm?jl=1010239809155",,,"Support your colleagues with pairing, peer reviews, coaching, discussion, and other collaborative activities that help everyone reach high standards and result…&hellip;

Skills: CI/CD, Spark, Test-driven development, PostgreSQL, New Relic",Glassdoor,https://ourfuturehealth.org.uk
"Software Engineer (All Levels), United Kingdom",KoBold Metals,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-all-levels-united-kingdom-kobold-metals-JV_IC2671300_KO0,43_KE44,57.htm?jl=1010082535526",,,"Enjoys constantly learning such that you are driving insights through using our tools in exploration and willing to work directly with geologists in the field.&hellip;

Skills: Docker, Natural language processing, Django, Software development, Communication skills",Glassdoor,https://koboldmetals.com
Software Engineer (Data),Suede,United Kingdom,28d,"https://www.glassdoor.co.uk/job-listing/software-engineer-data-suede-JV_KO0,22_KE23,28.htm?jl=1010219477199",,,"£500 ‘work from home’ set up budget when you join. Collaborate with QA, product, and senior engineers — and directly with client-facing teams — to resolve…&hellip;

Skills: Data structures, Regulatory reporting, Git, Mentoring, Financial services",Glassdoor,https://www.suede.co.uk
Software Engineer (Data),Marriott International,"Hemel Hempstead, England",11d,"https://www.glassdoor.co.uk/job-listing/software-engineer-data-marriott-international-JV_IC2669775_KO0,22_KE23,45.htm?jl=1010235292559",,,"Consumer-facing product experience — eCommerce, hospitality, travel, or retail strongly preferred. Access to a discounts platform including a points based…&hellip;

Skills: Power BI, Microservices, Scrum, APIs, Front-end development",Glassdoor,https://www.bizseek.co.uk
Staff Software Engineer,Fanvue,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-fanvue-JV_IC2671300_KO0,23_KE24,30.htm?jl=1010042164916",,,"Travel and office budgets for team off-sites or kitting out your home setup. You'll lead the monolith-to-services decomposition, optimise databases for high-…&hellip;

Skills: Performance tuning, Incident response, Machine learning, PostgreSQL, Distributed systems",Glassdoor,https://www.fanvue.com
Software Engineer (Mid-level),Freetrade,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-mid-level-freetrade-JV_IC2671300_KO0,27_KE28,37.htm?jl=1010072784318",,,"Understand the core features and KPIs of your product, working closely with the Product Manager to drive the product’s development.&hellip;

Skills: Node.js, Google Cloud Platform, PostgreSQL, TypeScript",Glassdoor,https://freetrade.io
Software Engineer,Legora,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-legora-JV_KO0,17_KE18,24.htm?jl=1010162785431",,,"1,000+ customers across 50+ countries trust us, including Cleary Gottlieb, Goodwin, Linklaters, White & Case, Dentons, and Barclays. What you will be doing:&hellip;

Skills: React, Continuous improvement, Mentoring, Software architecture",Glassdoor,https://legora.com
Staff Software Engineer UK,Paymentology,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/staff-software-engineer-uk-paymentology-JV_KO0,26_KE27,39.htm?jl=1010215907422",,,"Shape scalable architectures that support Paymentology's long-term product and business goals. We power card issuing for leading banks, fintechs and digital…&hellip;

Skills: CI/CD, Test automation, English, Microservices, AWS",Glassdoor,https://www.paymentology.com
"Software Engineer, Backend",Normal Computing,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-backend-normal-computing-corporation-JV_IC2671300_KO0,25_KE26,54.htm?jl=1010158129562",,,"Depending on the project, you might design an API shared by several services, evolve a database model without breaking existing sessions, make a state…&hellip;

Skills: Performance tuning, Cloud infrastructure, Software troubleshooting, Kubernetes, PostgreSQL",Glassdoor,https://www.normalcomputing.com
Full-Stack Software Developer,BAFTA,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/full-stack-software-developer-bafta-JV_KO0,29_KE30,35.htm?jl=1010189396028",,,"We also license our products to high-profile clients that share similar values. BAFTA is a leading arts charity focused on championing creativity, opportunity…&hellip;

Skills: Jira, React, Git, PHP, Confluence",Glassdoor,https://www.bafta.org
Backend Software Engineer,RMG Digital,"London, England",18d,"https://www.glassdoor.co.uk/job-listing/backend-software-engineer-rmg-digital-JV_IC2671300_KO0,25_KE26,37.htm?jl=1010229467490",,,"We’re looking for an engineer who enjoys building reliable, scalable backend systems and takes pride in writing clean, maintainable code.&hellip;

Skills: Node.js, Google Cloud Platform, PostgreSQL, Distributed systems, Terraform",Glassdoor,https://www.rmgdigital.io
"Software Engineer - QuantumBlack, AI by McKinsey",McKinsey & Company,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-quantumblack-ai-by-mckinsey-mckinsey-company-JV_IC2671300_KO0,45_KE46,62.htm?jl=1010024579850",,,"2-5+ years of experience developing full-stack applications by writing code that is readable, testable, maintainable, and scalable.&hellip;

Skills: CI/CD, NoSQL, Mentoring, Software development, Agile",Glassdoor,https://www.mckinsey.com
Python Software Engineer,Durlston Partners,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/python-software-engineer-durlston-partners-JV_IC2671300_KO0,24_KE25,42.htm?jl=1009788296982",,,"2+ years of Python experience and familiarity with C++ is a bonus. Build and maintain systems for trading data, automated settlements, and real-time…&hellip;

Skills: Relational databases, Software development",Glassdoor,https://durlstonpartners.com
Software Development Engineer in Test,Scrumconnect,"London, England",24d,"https://www.glassdoor.co.uk/job-listing/software-development-engineer-in-test-scrumconnect-JV_IC2671300_KO0,37_KE38,50.htm?jl=1010223409747",,,"We are seeking a Software Development Engineer who happens to write test code—someone who approaches test automation with the same engineering rigor applied to…&hellip;

Skills: CI/CD, Cucumber (software testing tool), Performance testing, Functional testing, Analysis skills",Glassdoor,https://www.scrumconnect.com
Intermediate Software Engineer,RELX,"Richmond, London, England",4d,"https://www.glassdoor.co.uk/job-listing/intermediate-software-engineer-relx-JV_IC2675154_KO0,30_KE31,35.htm?jl=1010243081639",,,"As a Software Engineer III, you will deliver production-quality software for well-defined components and features within a product or service.&hellip;

Skills: CI/CD, Splunk, Mentoring, Software development, Technical writing",Glassdoor,https://relxnow.com
Software Engineer (Applied AI),Euphoric Colors,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/software-engineer-applied-ai-euphoric-global-JV_IC2671300_KO0,28_KE29,44.htm?jl=1010016699221",,,"Industry Experience (2+ years): Prior experience contributing to impactful products in fast-paced or startup environments, with an understanding of both scale…&hellip;

Skills: CI/CD, React, Google Cloud Platform, Machine learning, Front-end development",Glassdoor,https://euphoriccolors.com
